label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
impurity,2942,2171,338,265,IMG20250814194926.jpg,3468,4624
impurity,1784,2067,129,129,IMG20250814194926.jpg,3468,4624
impurity,1575,2236,193,113,IMG20250814194926.jpg,3468,4624
impurity,417,2630,676,1536,IMG20250814194926.jpg,3468,4624
impurity,1092,3683,225,201,IMG20250814194926.jpg,3468,4624
impurity,1623,3112,177,233,IMG20250814194926.jpg,3468,4624
impurity,2347,2348,97,145,IMG20250814194926.jpg,3468,4624
impurity,2639,2601,149,168,IMG20250814194926.jpg,3468,4624
impurity,2240,2746,260,214,IMG20250814194926.jpg,3468,4624
impurity,2056,2972,77,103,IMG20250814194926.jpg,3468,4624
impurity,1291,3290,191,237,IMG20250814194926.jpg,3468,4624
impurity,2179,3129,73,115,IMG20250814194926.jpg,3468,4624
impurity,1264,4101,207,168,IMG20250814194926.jpg,3468,4624
impurity,2922,4062,272,283,IMG20250814194926.jpg,3468,4624
impurity,1892,4273,65,61,IMG20250814194926.jpg,3468,4624
impurity,2570,2913,50,69,IMG20250814194926.jpg,3468,4624
impurity,1892,2779,69,50,IMG20250814194926.jpg,3468,4624
impurity,1573,2112,150,198,IMG20250814194927.jpg,3468,4624
impurity,1251,2354,247,166,IMG20250814194927.jpg,3468,4624
impurity,3267,2193,201,434,IMG20250814194927.jpg,3468,4624
impurity,2393,2520,150,263,IMG20250814194927.jpg,3468,4624
impurity,2828,2857,198,268,IMG20250814194927.jpg,3468,4624
impurity,0,2934,560,1651,IMG20250814194927.jpg,3468,4624
impurity,1326,3700,279,370,IMG20250814194927.jpg,3468,4624
impurity,887,3963,279,332,IMG20250814194927.jpg,3468,4624
impurity,651,4510,166,114,IMG20250814194927.jpg,3468,4624
impurity,1981,3454,118,161,IMG20250814194927.jpg,3468,4624
impurity,2227,3137,418,279,IMG20250814194927.jpg,3468,4624
impurity,2168,3732,102,91,IMG20250814194927.jpg,3468,4624
impurity,1723,3207,107,70,IMG20250814194927.jpg,3468,4624
impurity,2736,3373,70,86,IMG20250814194927.jpg,3468,4624
impurity,2854,3791,43,75,IMG20250814194927.jpg,3468,4624
impurity,3208,4140,107,145,IMG20250814194927.jpg,3468,4624
impurity,1176,3454,75,91,IMG20250814194927.jpg,3468,4624
impurity,835,1816,322,233,IMG20250814194927_01.jpg,3468,4624
impurity,1189,1534,233,249,IMG20250814194927_01.jpg,3468,4624
impurity,2202,2017,201,281,IMG20250814194927_01.jpg,3468,4624
impurity,3280,1558,188,499,IMG20250814194927_01.jpg,3468,4624
impurity,2733,2403,273,322,IMG20250814194927_01.jpg,3468,4624
impurity,2025,2716,474,378,IMG20250814194927_01.jpg,3468,4624
impurity,1752,3127,113,209,IMG20250814194927_01.jpg,3468,4624
impurity,1012,3489,306,362,IMG20250814194927_01.jpg,3468,4624
impurity,441,3754,378,306,IMG20250814194927_01.jpg,3468,4624
impurity,208,4333,362,291,IMG20250814194927_01.jpg,3468,4624
